,reference,AgglomerativeClustering,LogisticRegression,RandomForest,correlation_subtype,distances_subtype
TCGA-BF-A1PU-01,keratin,keratin,keratin,keratin,Normal-like,Pigmentation
TCGA-BF-A1PV-01,keratin,keratin,keratin,keratin,Normal-like,Pigmentation
TCGA-BF-A1PX-01,keratin,immune,keratin,keratin,High-immune responce,Normal-like
TCGA-BF-A1PZ-01,keratin,immune,keratin,keratin,Proliferative,Pigmentation
TCGA-BF-A1Q0-01,immune,immune,immune,immune,High-immune responce,Proliferative
TCGA-BF-A3DJ-01,keratin,MITF-low,keratin,keratin,Proliferative,Normal-like
TCGA-BF-A3DL-01,keratin,keratin,keratin,keratin,Proliferative,Pigmentation
TCGA-BF-A3DM-01,MITF-low,MITF-low,MITF-low,keratin,,Proliferative
TCGA-BF-A3DN-01,MITF-low,MITF-low,MITF-low,MITF-low,,Pigmentation
TCGA-BF-A5EO-01,keratin,MITF-low,keratin,keratin,Proliferative,Normal-like
TCGA-BF-A5EP-01,keratin,MITF-low,keratin,keratin,,Proliferative
TCGA-BF-A5EQ-01,immune,keratin,immune,immune,High-immune responce,Pigmentation
TCGA-BF-A5ER-01,keratin,keratin,keratin,keratin,Pigmentation,Normal-like
TCGA-BF-A5ES-01,immune,keratin,immune,immune,,Pigmentation
TCGA-D3-A1Q1-06,keratin,MITF-low,keratin,keratin,,Proliferative
TCGA-D3-A1Q3-06,immune,keratin,immune,immune,High-immune responce,Pigmentation
TCGA-D3-A1Q4-06,MITF-low,MITF-low,MITF-low,MITF-low,,High-immune responce
TCGA-D3-A1Q5-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-D3-A1Q6-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-D3-A1Q7-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A1Q8-06,MITF-low,MITF-low,MITF-low,MITF-low,,High-immune responce
TCGA-D3-A1Q9-06,immune,immune,immune,immune,,Pigmentation
TCGA-D3-A1QA-06,immune,keratin,immune,keratin,,Pigmentation
TCGA-D3-A1QB-06,immune,immune,immune,immune,,Pigmentation
TCGA-D3-A2J6-06,keratin,keratin,keratin,keratin,,Pigmentation
TCGA-D3-A2J7-06,immune,keratin,immune,immune,,High-immune responce
TCGA-D3-A2J8-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A2J9-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A2JA-06,MITF-low,MITF-low,MITF-low,MITF-low,,High-immune responce
TCGA-D3-A2JB-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A2JC-06,immune,MITF-low,immune,immune,,Pigmentation
TCGA-D3-A2JD-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A2JF-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A2JG-06,keratin,keratin,keratin,keratin,,Pigmentation
TCGA-D3-A2JH-06,immune,immune,immune,immune,Pigmentation,High-immune responce
TCGA-D3-A2JK-06,keratin,keratin,keratin,keratin,,Normal-like
TCGA-D3-A2JL-06,immune,immune,immune,immune,High-immune responce,Pigmentation
TCGA-D3-A2JN-06,immune,MITF-low,immune,immune,Normal-like,High-immune responce
TCGA-D3-A2JO-06,immune,immune,immune,immune,Pigmentation,High-immune responce
TCGA-D3-A2JP-06,immune,immune,immune,immune,High-immune responce,High-immune responce
TCGA-D3-A3BZ-06,immune,MITF-low,immune,immune,,High-immune responce
TCGA-D3-A3C1-06,immune,MITF-low,immune,immune,,Proliferative
TCGA-D3-A3C3-06,immune,immune,immune,immune,Proliferative,High-immune responce
TCGA-D3-A3C6-06,MITF-low,MITF-low,MITF-low,keratin,,Proliferative
TCGA-D3-A3C7-06,MITF-low,MITF-low,MITF-low,MITF-low,Normal-like,High-immune responce
TCGA-D3-A3C8-06,immune,immune,immune,immune,Normal-like,High-immune responce
TCGA-D3-A3CB-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A3CC-06,keratin,MITF-low,keratin,keratin,Normal-like,Normal-like
TCGA-D3-A3CE-06,immune,MITF-low,immune,immune,,High-immune responce
TCGA-D3-A3CF-06,immune,immune,immune,immune,Pigmentation,High-immune responce
TCGA-D3-A3ML-06,keratin,keratin,keratin,keratin,,Pigmentation
TCGA-D3-A3MO-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-D3-A3MR-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A3MU-06,immune,keratin,immune,immune,,Pigmentation
TCGA-D3-A3MV-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-D3-A51E-06,immune,immune,immune,immune,,Pigmentation
TCGA-D3-A51F-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A51G-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-D3-A51H-06,immune,immune,immune,immune,,High-immune responce
TCGA-D3-A51J-06,immune,immune,immune,immune,Pigmentation,High-immune responce
TCGA-D3-A51K-06,keratin,keratin,keratin,keratin,,Pigmentation
TCGA-D3-A51N-06,immune,immune,immune,immune,Proliferative,High-immune responce
TCGA-D3-A51R-06,MITF-low,MITF-low,MITF-low,MITF-low,Normal-like,Proliferative
TCGA-D3-A51T-06,immune,immune,immune,immune,,Pigmentation
TCGA-D3-A5GL-06,keratin,MITF-low,keratin,keratin,,Pigmentation
TCGA-D3-A5GN-06,MITF-low,MITF-low,MITF-low,MITF-low,High-immune responce,Proliferative
TCGA-D3-A5GO-06,immune,MITF-low,immune,immune,,Pigmentation
TCGA-D3-A5GR-06,immune,MITF-low,immune,immune,Proliferative,High-immune responce
TCGA-D3-A5GS-06,immune,immune,immune,immune,High-immune responce,Pigmentation
TCGA-D3-A5GU-06,immune,keratin,immune,immune,High-immune responce,Pigmentation
TCGA-D9-A148-06,immune,immune,immune,immune,,Pigmentation
TCGA-D9-A149-06,immune,keratin,immune,immune,,Pigmentation
TCGA-D9-A1JW-06,immune,keratin,immune,immune,,Pigmentation
TCGA-D9-A1JX-06,immune,immune,immune,immune,,Pigmentation
TCGA-D9-A3Z1-06,immune,immune,immune,immune,High-immune responce,Pigmentation
TCGA-D9-A3Z3-06,immune,immune,immune,immune,,High-immune responce
TCGA-D9-A3Z4-01,immune,keratin,MITF-low,immune,Proliferative,Pigmentation
TCGA-D9-A4Z2-01,MITF-low,MITF-low,MITF-low,MITF-low,,Pigmentation
TCGA-D9-A4Z3-01,MITF-low,keratin,MITF-low,MITF-low,,Proliferative
TCGA-D9-A4Z5-01,keratin,keratin,keratin,keratin,Pigmentation,Proliferative
TCGA-DA-A1HV-06,immune,immune,immune,immune,Pigmentation,High-immune responce
TCGA-DA-A1HW-06,immune,immune,immune,immune,,Pigmentation
TCGA-DA-A1HY-06,MITF-low,MITF-low,MITF-low,MITF-low,High-immune responce,Proliferative
TCGA-DA-A1I0-06,immune,keratin,immune,immune,Normal-like,High-immune responce
TCGA-DA-A1I1-06,immune,keratin,immune,immune,,High-immune responce
TCGA-DA-A1I2-06,immune,MITF-low,immune,immune,Proliferative,Pigmentation
TCGA-DA-A1I4-06,keratin,keratin,immune,immune,,High-immune responce
TCGA-DA-A1I5-06,immune,immune,immune,immune,,High-immune responce
TCGA-DA-A1I7-06,MITF-low,MITF-low,MITF-low,MITF-low,,Proliferative
TCGA-DA-A1I8-06,MITF-low,MITF-low,MITF-low,MITF-low,High-immune responce,Proliferative
TCGA-DA-A1IA-06,keratin,keratin,keratin,keratin,Normal-like,Pigmentation
TCGA-DA-A1IB-06,immune,immune,immune,immune,Normal-like,High-immune responce
TCGA-DA-A1IC-06,keratin,MITF-low,keratin,keratin,Pigmentation,Normal-like
TCGA-DA-A3F2-06,immune,immune,immune,immune,Normal-like,High-immune responce
