GENE_NAME,ID,DESCRIPTION,SUMMARY
OCA2,4948,OCA2 melanosomal transmembrane protein,"This gene encodes the human homolog of the mouse p (pink-eyed dilution) gene. The encoded protein is believed to be an integral membrane protein involved in small molecule transport, specifically tyrosine, which is a precursor to melanin synthesis. It is involved in mammalian pigmentation, where it may control skin color variation and act as a determinant of brown or blue eye color. Mutations in this gene result in type 2 oculocutaneous albinism. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jul 2014]"
OR7A5,26659,olfactory receptor family 7 subfamily A member 5,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]"
LINC00589,619351,long intergenic non-protein coding RNA 589,
DNAH2,146754,dynein axonemal heavy chain 2,"Dyneins are microtubule-associated motor protein complexes composed of several heavy, light, and intermediate chains. The axonemal dyneins, found in cilia and flagella, are components of the outer and inner dynein arms attached to the peripheral microtubule doublets. DNAH2 is an axonemal inner arm dynein heavy chain (Chapelin et al., 1997 [PubMed 9256245]).[supplied by OMIM, Mar 2008]"
MLNR,2862,motilin receptor,"Motilin is a 22 amino acid peptide hormone expressed throughout the gastrointestinal (GI) tract. The protein encoded by this gene is a motilin receptor which is a member of the G-protein coupled receptor 1 family. This member is a multi-pass transmembrane protein, and is an important therapeutic target for the treatment of hypomotility disorders. [provided by RefSeq, Aug 2011]"
SCRG1,11341,stimulator of chondrogenesis 1,"Scrapie-responsive gene 1 is associated with neurodegenerative changes observed in transmissible spongiform encephalopathies. It may play a role in host response to prion-associated infections. The scrapie responsive protein 1 may be partly included in the membrane or secreted by the cells due to its hydrophobic N-terminus. In addition, the encoded protein can interact with bone marrow stromal cell antigen 1 (BST1) to enhance the differentiation potentials of human mesenchymal stem cells during tissue and bone regeneration. [provided by RefSeq, Jul 2016]"
PRDM7,11105,PR/SET domain 7,"This gene encodes a member of a family of proteins that may have roles in transcription and other nuclear processes. The encoded protein contains a KRAB (Kruppel-associated box) domain -A box and a SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain and may function as a histone methyltransferase. [provided by RefSeq, Aug 2013]"
CCDC181,57821,coiled-coil domain containing 181,"Predicted to enable microtubule binding activity. Predicted to be located in manchette and sperm flagellum. [provided by Alliance of Genome Resources, Apr 2022]"
GLRB,2743,glycine receptor beta,"This gene encodes the beta subunit of the glycine receptor, which is a pentamer composed of alpha and beta subunits. The receptor functions as a neurotransmitter-gated ion channel, which produces hyperpolarization via increased chloride conductance due to the binding of glycine to the receptor. Mutations in this gene cause startle disease, also known as hereditary hyperekplexia or congenital stiff-person syndrome, a disease characterized by muscular rigidity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2009]"
LTK,4058,leukocyte receptor tyrosine kinase,"The protein encoded by this gene is a member of the ros/insulin receptor family of tyrosine kinases. Tyrosine-specific phosphorylation of proteins is a key to the control of diverse pathways leading to cell growth and differentiation. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008]"
