,subtype
TCGA-BF-A1PU-01,Normal-like
TCGA-BF-A1PV-01,Normal-like
TCGA-BF-A1PX-01,High-immune responce
TCGA-BF-A1PZ-01,Proliferative
TCGA-BF-A1Q0-01,High-immune responce
TCGA-BF-A3DJ-01,Proliferative
TCGA-BF-A3DL-01,Proliferative
TCGA-BF-A5EO-01,Proliferative
TCGA-BF-A5EQ-01,High-immune responce
TCGA-BF-A5ER-01,Pigmentation
TCGA-BF-A9VF-01,Proliferative
TCGA-BF-AAP1-01,Normal-like
TCGA-BF-AAP7-01,High-immune responce
TCGA-BF-AAP8-01,Proliferative
TCGA-D3-A1Q3-06,High-immune responce
TCGA-D3-A2JH-06,Pigmentation
TCGA-D3-A2JL-06,High-immune responce
TCGA-D3-A2JN-06,Normal-like
TCGA-D3-A2JO-06,Pigmentation
TCGA-D3-A2JP-06,High-immune responce
TCGA-D3-A3C3-06,Proliferative
TCGA-D3-A3C7-06,Normal-like
TCGA-D3-A3C8-06,Normal-like
TCGA-D3-A3CC-06,Normal-like
TCGA-D3-A3CF-06,Pigmentation
TCGA-D3-A51J-06,Pigmentation
TCGA-D3-A51N-06,Proliferative
TCGA-D3-A51R-06,Normal-like
TCGA-D3-A5GN-06,High-immune responce
TCGA-D3-A5GR-06,Proliferative
TCGA-D3-A5GS-06,High-immune responce
TCGA-D3-A5GU-06,High-immune responce
TCGA-D3-A8GC-06,Pigmentation
TCGA-D3-A8GI-06,Proliferative
TCGA-D3-A8GJ-06,High-immune responce
TCGA-D3-A8GK-06,Normal-like
TCGA-D3-A8GO-06,Proliferative
TCGA-D3-A8GQ-06,Normal-like
TCGA-D3-A8GR-06,Proliferative
TCGA-D3-A8GS-06,Pigmentation
TCGA-D9-A1X3-06,Proliferative
TCGA-D9-A3Z1-06,High-immune responce
TCGA-D9-A3Z4-01,Proliferative
TCGA-D9-A4Z5-01,Pigmentation
TCGA-D9-A4Z6-06,Proliferative
TCGA-D9-A6EC-06,Normal-like
TCGA-D9-A6EG-06,Proliferative
TCGA-DA-A1HV-06,Pigmentation
TCGA-DA-A1HY-06,High-immune responce
TCGA-DA-A1I0-06,Normal-like
TCGA-DA-A1I2-06,Proliferative
TCGA-DA-A1I8-06,High-immune responce
TCGA-DA-A1IA-06,Normal-like
TCGA-DA-A1IB-06,Normal-like
TCGA-DA-A1IC-06,Pigmentation
TCGA-DA-A3F2-06,Normal-like
TCGA-DA-A3F5-06,High-immune responce
TCGA-DA-A3F8-06,Pigmentation
TCGA-DA-A95W-06,Proliferative
TCGA-DA-A95X-06,High-immune responce
TCGA-DA-A95Z-06,Proliferative
TCGA-EB-A24C-01,Pigmentation
TCGA-EB-A24D-01,Normal-like
TCGA-EB-A299-01,Proliferative
TCGA-EB-A3XD-01,High-immune responce
TCGA-EB-A3Y7-01,Pigmentation
TCGA-EB-A41A-01,Normal-like
TCGA-EB-A41B-01,Proliferative
TCGA-EB-A42Y-01,Pigmentation
TCGA-EB-A431-01,Normal-like
TCGA-EB-A44O-01,Proliferative
TCGA-EB-A44P-01,Normal-like
TCGA-EB-A44R-06,Pigmentation
TCGA-EB-A4IQ-01,Proliferative
TCGA-EB-A4OY-01,Normal-like
TCGA-EB-A4OZ-01,High-immune responce
TCGA-EB-A51B-01,Proliferative
TCGA-EB-A550-01,Proliferative
TCGA-EB-A553-01,High-immune responce
TCGA-EB-A5FP-01,Proliferative
TCGA-EB-A5KH-06,Proliferative
TCGA-EB-A5SG-06,Pigmentation
TCGA-EB-A5UM-01,Proliferative
TCGA-EB-A5VV-06,Normal-like
TCGA-EB-A82C-01,Proliferative
TCGA-EB-A85I-01,Proliferative
TCGA-EB-A97M-01,Proliferative
TCGA-EE-A17X-06,Proliferative
TCGA-EE-A17Y-06,Normal-like
TCGA-EE-A17Z-06,Normal-like
TCGA-EE-A181-06,High-immune responce
TCGA-EE-A185-06,Proliferative
TCGA-EE-A20F-06,High-immune responce
TCGA-EE-A29B-06,Proliferative
TCGA-EE-A29E-06,Normal-like
TCGA-EE-A29L-06,Proliferative
TCGA-EE-A29M-06,High-immune responce
TCGA-EE-A29Q-06,Normal-like
TCGA-EE-A29V-06,Proliferative
TCGA-EE-A2A5-06,High-immune responce
TCGA-EE-A2GC-06,High-immune responce
TCGA-EE-A2GD-06,Proliferative
TCGA-EE-A2GM-06,Proliferative
TCGA-EE-A2GN-06,Proliferative
TCGA-EE-A2GO-06,Normal-like
TCGA-EE-A2GP-06,Proliferative
TCGA-EE-A2GR-06,Proliferative
TCGA-EE-A2GS-06,Proliferative
TCGA-EE-A2GT-06,Pigmentation
TCGA-EE-A2M5-06,Normal-like
TCGA-EE-A2M8-06,Pigmentation
TCGA-EE-A2MC-06,Normal-like
TCGA-EE-A2MJ-06,Pigmentation
TCGA-EE-A2MK-06,Pigmentation
TCGA-EE-A2ML-06,High-immune responce
TCGA-EE-A2MM-06,High-immune responce
TCGA-EE-A2MP-06,High-immune responce
TCGA-EE-A2MQ-06,Proliferative
TCGA-EE-A2MR-06,Proliferative
TCGA-EE-A2MS-06,Pigmentation
TCGA-EE-A3AD-06,Normal-like
TCGA-EE-A3AG-06,Normal-like
TCGA-EE-A3AH-06,Proliferative
TCGA-EE-A3J3-06,Pigmentation
TCGA-EE-A3J4-06,Proliferative
TCGA-EE-A3J7-06,Pigmentation
TCGA-EE-A3J8-06,Pigmentation
TCGA-EE-A3JI-06,Proliferative
TCGA-ER-A194-01,High-immune responce
TCGA-ER-A195-06,Proliferative
TCGA-ER-A196-01,Proliferative
TCGA-ER-A197-06,Normal-like
TCGA-ER-A19C-06,Normal-like
TCGA-ER-A19E-06,Normal-like
TCGA-ER-A19G-06,High-immune responce
TCGA-ER-A19H-06,Pigmentation
TCGA-ER-A19K-01,Pigmentation
TCGA-ER-A19N-06,Normal-like
TCGA-ER-A19O-06,Normal-like
TCGA-ER-A19S-06,Pigmentation
TCGA-ER-A19T-06,Pigmentation
TCGA-ER-A2ND-06,Proliferative
TCGA-ER-A2NF-01,Pigmentation
TCGA-ER-A2NG-06,High-immune responce
TCGA-ER-A3ES-06,Proliferative
TCGA-ER-A3EV-06,Proliferative
TCGA-ER-A3PL-06,Pigmentation
TCGA-FR-A3YO-06,Proliferative
TCGA-FR-A69P-06,Pigmentation
TCGA-FR-A726-01,Pigmentation
TCGA-FR-A728-01,High-immune responce
TCGA-FR-A7U9-06,Normal-like
TCGA-FR-A8YC-06,Proliferative
TCGA-FR-A8YD-06,Pigmentation
TCGA-FS-A1YW-06,High-immune responce
TCGA-FS-A1YX-06,Proliferative
TCGA-FS-A1Z0-06,Pigmentation
TCGA-FS-A1Z3-06,Pigmentation
TCGA-FS-A1ZA-06,Normal-like
TCGA-FS-A1ZC-06,Normal-like
TCGA-FS-A1ZE-06,Proliferative
TCGA-FS-A1ZF-06,Proliferative
TCGA-FS-A1ZJ-06,Proliferative
TCGA-FS-A1ZM-06,Proliferative
TCGA-FS-A1ZN-01,Proliferative
TCGA-FS-A1ZQ-06,Proliferative
TCGA-FS-A1ZR-06,Pigmentation
TCGA-FS-A1ZZ-06,Normal-like
TCGA-FS-A4F2-06,Pigmentation
TCGA-FS-A4F4-06,High-immune responce
TCGA-FS-A4F5-06,Proliferative
TCGA-FS-A4FD-06,High-immune responce
TCGA-FW-A3I3-06,Pigmentation
TCGA-FW-A3R5-06,High-immune responce
TCGA-FW-A3TU-06,Pigmentation
TCGA-FW-A5DX-01,Proliferative
TCGA-GF-A2C7-01,Proliferative
TCGA-GF-A3OT-06,Normal-like
TCGA-GF-A6C9-06,Normal-like
TCGA-GN-A266-06,Proliferative
TCGA-GN-A267-06,Proliferative
TCGA-GN-A26A-06,Normal-like
TCGA-GN-A26C-01,Proliferative
TCGA-GN-A26D-06,Proliferative
TCGA-GN-A4U3-06,Proliferative
TCGA-GN-A4U7-06,Normal-like
TCGA-GN-A4U8-06,High-immune responce
TCGA-GN-A4U9-06,Normal-like
TCGA-GN-A8LK-06,Normal-like
TCGA-GN-A8LN-01,Pigmentation
TCGA-HR-A5NC-01,Proliferative
TCGA-IH-A3EA-01,Proliferative
TCGA-LH-A9QB-06,Normal-like
TCGA-OD-A75X-06,Proliferative
TCGA-QB-A6FS-06,Pigmentation
TCGA-RP-A690-06,Normal-like
TCGA-RP-A695-06,Proliferative
TCGA-RP-A6K9-06,Pigmentation
TCGA-W3-A824-06,Proliferative
TCGA-W3-A825-06,Normal-like
TCGA-W3-AA1V-06,Normal-like
TCGA-W3-AA1W-06,Pigmentation
TCGA-W3-AA21-06,Proliferative
TCGA-WE-A8JZ-06,Proliferative
TCGA-WE-A8K1-06,High-immune responce
TCGA-WE-A8ZM-06,Normal-like
TCGA-WE-A8ZN-06,Normal-like
TCGA-WE-A8ZR-06,Proliferative
TCGA-WE-A8ZX-06,High-immune responce
TCGA-WE-A8ZY-06,Proliferative
TCGA-WE-AAA4-06,Pigmentation
TCGA-XV-AAZV-01,Proliferative
TCGA-XV-AAZY-01,Normal-like
TCGA-XV-AB01-06,Pigmentation
TCGA-YD-A89C-06,Pigmentation
TCGA-YG-AA3N-01,Pigmentation
TCGA-Z2-AA3V-06,Normal-like
