GENE_NAME,ID,DESCRIPTION,SUMMARY
CCL3L3,414062,C-C motif chemokine ligand 3 like 3,"This gene is one of several cytokine genes that are clustered on the q-arm of chromosome 17. Cytokines are a family of secreted proteins that function in inflammatory and immunoregulatory processes. The protein encoded by this gene binds to several chemokine receptors, including chemokine binding protein 2 and chemokine (C-C motif) receptor 5 (CCR5). CCR5 is a co-receptor for HIV, and binding of this protein to CCR5 inhibits HIV entry. The copy number of this gene varies among individuals, where most individuals have one to six copies, and a minority of individuals have zero or more than six copies. There are conflicting reports about copy number variation of this gene and its correlation to disease susceptibility.[provided by RefSeq, Apr 2014]"
FCRL5,83416,Fc receptor like 5,"This gene encodes a member of the immunoglobulin receptor superfamily and the Fc-receptor like family. This gene and several other Fc receptor-like gene members are clustered on the long arm of chromosome 1. The encoded protein is a single-pass type I membrane protein and contains 8 immunoglobulin-like C2-type domains. This gene is implicated in B cell development and lymphomagenesis. Alternatively spliced transcript variants encoding different isoforms have been identified. [provided by RefSeq, Sep 2010]"
GDNF,2668,glial cell derived neurotrophic factor,"This gene encodes a secreted ligand of the TGF-beta (transforming growth factor-beta) superfamily of proteins. Ligands of this family bind various TGF-beta receptors leading to recruitment and activation of SMAD family transcription factors that regulate gene expression. The encoded preproprotein is proteolytically processed to generate each subunit of the disulfide-linked homodimer. The recombinant form of this protein, a highly conserved neurotrophic factor, was shown to promote the survival and differentiation of dopaminergic neurons in culture, and was able to prevent apoptosis of motor neurons induced by axotomy. This protein is a ligand for the product of the RET (rearranged during transfection) protooncogene. Mutations in this gene may be associated with Hirschsprung disease and Tourette syndrome. This gene encodes multiple protein isoforms that may undergo similar proteolytic processing. [provided by RefSeq, Aug 2016]"
IFNG,3458,interferon gamma,"This gene encodes a soluble cytokine that is a member of the type II interferon class. The encoded protein is secreted by cells of both the innate and adaptive immune systems. The active protein is a homodimer that binds to the interferon gamma receptor which triggers a cellular response to viral and microbial infections. Mutations in this gene are associated with an increased susceptibility to viral, bacterial and parasitic infections and to several autoimmune diseases. [provided by RefSeq, Dec 2015]"
KLRC4,8302,killer cell lectin like receptor C4,"Natural killer (NK) cells are lymphocytes that can mediate lysis of certain tumor cells and virus-infected cells without previous activation. They can also regulate specific humoral and cell-mediated immunity. NK cells preferentially express several calcium-dependent (C-type) lectins, which have been implicated in the regulation of NK cell function. This gene is a member of the NKG2 group of genes that are expressed primarily in natural killer (NK) cells. These family members encode transmembrane proteins that are characterized by a type II membrane orientation (have an extracellular C-terminus) and the presence of a C-type lectin domain. This family member is located within the NK complex, a region that contains several C-type lectin genes preferentially expressed in NK cells. Read-through transcription exists between this gene and the downstream KLRK1 (killer cell lectin-like receptor subfamily K, member 1) family member. [provided by RefSeq, Dec 2010]"
TNFRSF17,608,TNF receptor superfamily member 17,"The protein encoded by this gene is a member of the TNF-receptor superfamily. This receptor is preferentially expressed in mature B lymphocytes, and may be important for B cell development and autoimmune response. This receptor has been shown to specifically bind to the tumor necrosis factor (ligand) superfamily, member 13b (TNFSF13B/TALL-1/BAFF), and to lead to NF-kappaB and MAPK8/JNK activation. This receptor also binds to various TRAF family members, and thus may transduce signals for cell survival and proliferation. [provided by RefSeq, Jul 2008]"
FFAR4,338557,free fatty acid receptor 4,"This gene encodes a G protein-coupled receptor (GPR) which belongs to the rhodopsin family of GPRs. The encoded protein functions as a receptor for free fatty acids, including omega-3, and participates in suppressing anti-inflammatory responses and insulin sensitizing. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Feb 2012]"
IKZF3,22806,IKAROS family zinc finger 3,"This gene encodes a member of the Ikaros family of zinc-finger proteins. Three members of this protein family (Ikaros, Aiolos and Helios) are hematopoietic-specific transcription factors involved in the regulation of lymphocyte development. This gene product is a transcription factor that is important in the regulation of B lymphocyte proliferation and differentiation. Both Ikaros and Aiolos can participate in chromatin remodeling. Regulation of gene expression in B lymphocytes by Aiolos is complex as it appears to require the sequential formation of Ikaros homodimers, Ikaros/Aiolos heterodimers, and Aiolos homodimers. Several alternative transcripts encoding different isoforms have been described, as well as some non-protein coding variants. [provided by RefSeq, Apr 2012]"
FDCSP,260436,follicular dendritic cell secreted protein,"This gene encodes a small secreted protein that is expressed in follicular dendritic cells. This protein specifically binds to activated B cells, and functions as a regulator of antibody responses. It is also thought to contribute to tumor metastases by promoting cancer cell migration and invasion. [provided by RefSeq, Dec 2011]"
CCR8,1237,C-C motif chemokine receptor 8,"This gene encodes a member of the beta chemokine receptor family, which is predicted to be a seven transmembrane protein similar to G protein-coupled receptors. Chemokines and their receptors are important for the migration of various cell types into the inflammatory sites. This receptor protein preferentially expresses in the thymus. I-309, thymus activation-regulated cytokine (TARC) and macrophage inflammatory protein-1 beta (MIP-1 beta) have been identified as ligands of this receptor. Studies of this receptor and its ligands suggested its role in regulation of monocyte chemotaxis and thymic cell apoptosis. More specifically, this receptor may contribute to the proper positioning of activated T cells within the antigenic challenge sites and specialized areas of lymphoid tissues. This gene is located at the chemokine receptor gene cluster region. [provided by RefSeq, Jul 2008]"
PLA2G2D,26279,phospholipase A2 group IID,"This gene encodes a secreted member of the phospholipase A2 family, and is found in a cluster of related family members on chromosome 1. Phospholipase A2 family members hydrolyze the sn-2 fatty acid ester bond of glycerophospholipids to produce lysophospholipids and free fatty acid. This gene may be involved in inflammation and immune response, and in weight loss associated with chronic obstructive pulmonary disease. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Nov 2012]"
CD19,930,CD19 molecule,"This gene encodes a member of the immunoglobulin gene superfamily. Expression of this cell surface protein is restricted to B cell lymphocytes. This protein is a reliable marker for pre-B cells but its expression diminishes during terminal B cell differentiation in antibody secreting plasma cells. The protein has two N-terminal extracellular Ig-like domains separated by a non-Ig-like domain, a hydrophobic transmembrane domain, and a large C-terminal cytoplasmic domain. This protein forms a complex with several membrane proteins including complement receptor type 2 (CD21) and tetraspanin (CD81) and this complex reduces the threshold for antigen-initiated B cell activation. Activation of this B-cell antigen receptor complex activates the phosphatidylinositol 3-kinase signalling pathway and the subsequent release of intracellular stores of calcium ions. This protein is a target of chimeric antigen receptor (CAR) T-cells used in the treatment of lymphoblastic leukemia. Mutations in this gene are associated with the disease common variable immunodeficiency 3 (CVID3) which results in a failure of B-cell differentiation and impaired secretion of immunoglobulins. CVID3 is characterized by hypogammaglobulinemia, an inability to mount an antibody response to antigen, and recurrent bacterial infections. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2020]"
FAM30A,9834,family with sequence similarity 30 member A,
