,clusters_predicted
TCGA-BF-A1PU-01,keratin
TCGA-BF-A1PV-01,keratin
TCGA-BF-A1PX-01,immune
TCGA-BF-A1PZ-01,immune
TCGA-BF-A1Q0-01,immune
TCGA-BF-A3DJ-01,MITF-low
TCGA-BF-A3DL-01,keratin
TCGA-BF-A3DM-01,MITF-low
TCGA-BF-A3DN-01,MITF-low
TCGA-BF-A5EO-01,MITF-low
TCGA-BF-A5EP-01,MITF-low
TCGA-BF-A5EQ-01,keratin
TCGA-BF-A5ER-01,keratin
TCGA-BF-A5ES-01,keratin
TCGA-D3-A1Q1-06,MITF-low
TCGA-D3-A1Q3-06,keratin
TCGA-D3-A1Q4-06,MITF-low
TCGA-D3-A1Q5-06,MITF-low
TCGA-D3-A1Q6-06,MITF-low
TCGA-D3-A1Q7-06,immune
TCGA-D3-A1Q8-06,MITF-low
TCGA-D3-A1Q9-06,immune
TCGA-D3-A1QA-06,keratin
TCGA-D3-A1QB-06,immune
TCGA-D3-A2J6-06,keratin
TCGA-D3-A2J7-06,keratin
TCGA-D3-A2J8-06,immune
TCGA-D3-A2J9-06,immune
TCGA-D3-A2JA-06,MITF-low
TCGA-D3-A2JB-06,immune
TCGA-D3-A2JC-06,MITF-low
TCGA-D3-A2JD-06,immune
TCGA-D3-A2JF-06,immune
TCGA-D3-A2JG-06,keratin
TCGA-D3-A2JH-06,immune
TCGA-D3-A2JK-06,keratin
TCGA-D3-A2JL-06,immune
TCGA-D3-A2JN-06,MITF-low
TCGA-D3-A2JO-06,immune
TCGA-D3-A2JP-06,immune
TCGA-D3-A3BZ-06,MITF-low
TCGA-D3-A3C1-06,MITF-low
TCGA-D3-A3C3-06,immune
TCGA-D3-A3C6-06,MITF-low
TCGA-D3-A3C7-06,MITF-low
TCGA-D3-A3C8-06,immune
TCGA-D3-A3CB-06,immune
TCGA-D3-A3CC-06,MITF-low
TCGA-D3-A3CE-06,MITF-low
TCGA-D3-A3CF-06,immune
TCGA-D3-A3ML-06,keratin
TCGA-D3-A3MO-06,MITF-low
TCGA-D3-A3MR-06,immune
TCGA-D3-A3MU-06,keratin
TCGA-D3-A3MV-06,MITF-low
TCGA-D3-A51E-06,immune
