GENE_NAME,ID,DESCRIPTION,SUMMARY
CMTM5,116173,CKLF like MARVEL transmembrane domain containing 5,"This gene encodes a member of the chemokine-like factor superfamily. This family of genes encodes multi-pass membrane proteins that are similar to both the chemokine and the transmembrane 4 superfamilies of signaling molecules. The encoded protein may exhibit tumor suppressor activity. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2014]"
CTAGE6,340307,CTAGE family member 6,"Predicted to be involved in endoplasmic reticulum to Golgi vesicle-mediated transport; protein secretion; and vesicle cargo loading. Predicted to be integral component of membrane. Predicted to be active in endoplasmic reticulum exit site and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
LINC00189,193629,long intergenic non-protein coding RNA 189,
CCDC160,347475,coiled-coil domain containing 160,
RNF217-AS1,7955,RNF217 antisense RNA 1 (head to head),
OR2A1,346528,olfactory receptor family 2 subfamily A member 1,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]"
ONECUT1,3175,one cut homeobox 1,"This gene encodes a member of the Cut homeobox family of transcription factors. Expression of the encoded protein is enriched in the liver, where it stimulates transcription of liver-expressed genes, and antagonizes glucocorticoid-stimulated gene transcription. This gene may influence a variety of cellular processes including glucose metabolism, cell cycle regulation, and it may also be associated with cancer. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Dec 2012]"
LGMD2L,203859,anoctamin 5,"This gene encodes a member of the anoctamin family of transmembrane proteins. The encoded protein is likely a calcium activated chloride channel. Mutations in this gene have been associated with gnathodiaphyseal dysplasia. Alternatively spliced transcript variants have been described. [provided by RefSeq, Nov 2009]"
SUGT1P1,441394,SUGT1 pseudogene 1,
TYRP1,7306,tyrosinase related protein 1,"This gene encodes a melanosomal enzyme that belongs to the tyrosinase family and plays an important role in the melanin biosynthetic pathway. Defects in this gene are the cause of rufous oculocutaneous albinism and oculocutaneous albinism type III. [provided by RefSeq, Mar 2009]"
ANO4,121601,anoctamin 4,"Enables intracellular calcium activated chloride channel activity. Involved in chloride transport. Located in plasma membrane. [provided by Alliance of Genome Resources, Apr 2022]"
TCL6,27004,T cell leukemia/lymphoma 6,
OR2A10,79541,olfactory receptor family 2 subfamily A member 4,"Olfactory receptors interact with odorant molecules in the nose, to initiate a neuronal response that triggers the perception of a smell. The olfactory receptor proteins are members of a large family of G-protein-coupled receptors (GPCR) arising from single coding-exon genes. Olfactory receptors share a 7-transmembrane domain structure with many neurotransmitter and hormone receptors and are responsible for the recognition and G protein-mediated transduction of odorant signals. The olfactory receptor gene family is the largest in the genome. The nomenclature assigned to the olfactory receptor genes and proteins for this organism is independent of other organisms. [provided by RefSeq, Jul 2008]"
KLHDC9,126823,kelch domain containing 9,"Enables cyclin binding activity. [provided by Alliance of Genome Resources, Apr 2022]"
LINC01096,285548,long intergenic non-protein coding RNA 1096,
CTAGE4,100128553,CTAGE family member 4,"Predicted to be involved in endoplasmic reticulum to Golgi vesicle-mediated transport; protein secretion; and vesicle cargo loading. Predicted to be integral component of membrane. Predicted to be active in endoplasmic reticulum exit site and endoplasmic reticulum membrane. [provided by Alliance of Genome Resources, Apr 2022]"
ANXA3,306,annexin A3,"This gene encodes a member of the annexin family.  Members of this calcium-dependent phospholipid-binding protein family play a role in the regulation of cellular growth and in signal transduction pathways.  This protein functions in the inhibition of phopholipase A2 and cleavage of inositol 1,2-cyclic phosphate to form inositol 1-phosphate. This protein may also play a role in anti-coagulation. [provided by RefSeq, Jul 2008]"
ZNF334,55713,zinc finger protein 334,"This gene encodes a member of the C2H2 zinc finger family. The encoded protein contains a Krueppel-associated box, fourteen C2H2 zinc finger domains, and four C2H2-type/integrase DNA-binding domains. Decreased expression of this gene may be a marker for rheumatoid arthritis. Alternative splicing results in multiple transcript variants that encode different protein isoforms. [provided by RefSeq, Jul 2012]"
NKAPP1,158801,NFKB activating protein pseudogene 1,
FAM184A,79632,family with sequence similarity 184 member A,"Located in extracellular space. [provided by Alliance of Genome Resources, Apr 2022]"
